name,team,position,cap_number_17_18,cap_number_18_19,salary_17_18,salary_18_19,salary_19_20,salary_20_21,salary_21_22
"Johnson, Erik",COL,Defence,6.000,6.000,6.000,6.000,6.000,6.000,6.000
"Nugent-Hopkins, Ryan",EDM,Center,6.000,6.000,6.000,6.000,6.000,6.000,UFA
"Saad, Brandon",CLB,Left,6.000,6.000,6.250,6.750,6.750,6.500,UFA
"Forsberg, Filip",NAS,Center,6.000,6.000,6.000,6.000,6.000,6.000,6.000
"Panarin, Artemi",CHI,Left,6.000,6.000,6.000,6.000,UFA,,
"Huberdeau, Jonathan",FLA,Center,5.900,5.900,6.200,6.200,6.200,5.300,5.300
"Varlamov, Semyon",COL,Goaltender,5.900,5.900,5.750,5.500,UFA,,
"Barkov, Aleksander",FLA,Center,5.900,5.900,5.250,6.250,6.900,4.750,7.750
"Lehtonen, Kari",DAL,Goaltender,5.900,0.000,5.000,UFA,,,
"Brown, Dustin",LAK,Right,5.875,5.875,6.500,5.500,5.500,4.000,4.000
"Dubinsky, Brandon",CLB,Center,5.850,5.850,5.850,5.850,5.850,5.850,UFA
"Quick, Jonathan",LAK,Goaltender,5.800,5.800,7.000,7.000,7.000,3.500,3.000
"Callahan, Ryan",TBL,Right,5.800,5.800,6.500,4.700,4.700,UFA,
"Hamilton, Dougie",CGY,Defence,5.750,5.750,5.750,5.750,6.000,6.000,UFA
"Fleury, Marc-Andre",PIT,Goaltender,5.750,5.750,5.750,5.750,UFA,,
"Zajac, Travis",NJD,Center,5.750,5.750,6.500,6.500,5.750,5.750,UFA
"Enstrom, Toby",WPG,Defence,5.750,0.000,5.750,UFA,,,
"Steen, Alexander",STL,Center,5.750,5.750,7.000,7.000,5.500,3.500,UFA
"Seguin, Tyler",DAL,Center,5.750,5.750,6.000,6.500,UFA,,
"Niskanen, Matt",WAS,Defence,5.750,5.750,5.750,5.750,5.750,5.750,UFA
"Skinner, Jeff",CAR,Center,5.725,5.725,6.000,6.000,UFA,,
"Staal, Marc",NYR,Defence,5.700,5.700,6.000,6.000,5.000,4.200,UFA
"Smith, Mike",ARI,Goaltender,5.667,5.667,6.000,5.000,UFA,,
"Wheeler, Blake",WPG,Right,5.600,5.600,5.800,5.800,UFA,,
"Pominville, Jason",MIN,Right,5.600,5.600,5.000,5.000,UFA,,
"Landeskog, Gabriel",COL,Right,5.571,5.571,6.000,6.000,6.000,6.500,UFA
"Keith, Duncan",CHI,Defence,5.538,5.538,5.000,4.500,3.500,2.650,2.100
"Foligno, Nick",CLB,Left,5.500,5.500,5.500,5.500,5.500,5.500,UFA
"Orpik, Brooks",WAS,Defence,5.500,5.500,5.500,4.500,UFA,,
"Girardi, Dan",NYR,Defence,5.500,5.500,5.000,4.000,4.000,UFA,
"Bolland, Dave",ARI,Center,5.500,5.500,5.500,5.500,UFA,,
"Tavares, John",NYI,Center,5.500,0.000,6.000,UFA,,,
"Leddy, Nick",NYI,Defence,5.500,5.500,5.000,5.500,6.000,6.500,7.000
"Ekman-Larsson, Oliver",ARI,Defence,5.500,5.500,6.500,7.000,UFA,,
"Barrie, Tyson",COL,Defence,5.500,5.500,5.250,5.750,6.000,UFA,
"Myers, Tyler",WPG,Defence,5.500,5.500,3.500,3.000,UFA,,
"Sekera, Andrej",EDM,Defence,5.500,5.500,5.500,5.500,4.500,4.500,UFA
"Petry, Jeff",MTL,Defence,5.500,5.500,6.000,5.000,4.000,4.000,UFA
"Ladd, Andrew",NYI,Left,5.500,5.500,7.500,6.000,5.000,4.000,4.000
"Goligoski, Alex",ARI,Defence,5.475,5.475,6.100,6.100,5.800,4.000,UFA
"Ristolainen, Rasmus",BUF,Defence,5.400,5.400,5.400,5.400,5.400,5.400,5.400
"Bouwmeester, Jay",STL,Defence,5.400,5.400,5.400,5.400,UFA,,
"Jones, Seth",CLB,Defence,5.400,5.400,5.400,5.400,5.400,5.400,5.400
"Schwartz, Jaden",STL,Left,5.350,5.350,5.500,6.250,5.750,4.000,UFA
"Horton, Nathan",TOR,Center,5.300,5.300,6.000,4.500,3.600,UFA,
"Howard, Jimmy",DET,Goaltender,5.292,5.292,5.000,4.250,UFA,,
"Hossa, Marian",CHI,Right,5.275,5.275,1.000,1.000,1.000,1.000,UFA
"Carter, Jeff",LAK,Center,5.273,5.273,6.500,5.000,3.000,2.000,2.000
"Nielsen, Frans",DET,Center,5.250,5.250,6.000,6.000,5.500,5.000,3.000
"Krug, Torey",BOS,Defence,5.250,5.250,5.500,5.500,5.000,UFA,
"Lupul, Joffrey",TOR,Right,5.250,0.000,3.750,UFA,,,
"Lindholm, Hampus",ANA,Defence,5.250,5.250,6.000,6.750,5.250,3.750,6.750
"Kane, Evander",BUF,Left,5.250,0.000,6.000,UFA,,,
"Clarkson, David",CLB,Right,5.250,5.250,7.000,4.750,3.250,UFA,
"Spurgeon, Jared",MIN,Defence,5.188,5.188,5.500,5.500,5.500,UFA,
"Hoffman, Mike",OTT,Center,5.188,5.188,5.650,5.650,5.650,UFA,
"Bogosian, Zach",BUF,Defence,5.143,5.143,5.500,6.000,6.000,UFA,
"Schenn, Brayden",PHI,Center,5.125,5.125,5.000,5.000,4.500,UFA,
"Andersen, Frederik",TOR,Goaltender,5.000,5.000,5.000,5.000,5.000,5.000,UFA
"Edler, Alexander",VAN,Defence,5.000,5.000,6.000,4.500,UFA,,
"Greene, Andy",NJD,Defence,5.000,5.000,5.000,5.000,5.000,UFA,
"Neal, James",NAS,Left,5.000,0.000,5.000,UFA,,,
"Cammalleri, Michael",NJD,Center,5.000,5.000,5.000,5.000,UFA,,
"Rielly, Morgan",TOR,Defence,5.000,5.000,5.000,5.000,5.000,5.000,5.000
"Smith, Reilly",FLA,Right,5.000,5.000,6.000,6.000,5.000,3.500,4.500
"DeKeyser, Danny",DET,Defence,5.000,5.000,5.500,5.500,5.500,4.500,5.000
"Grabovski, Mikhail",NYI,Center,5.000,0.000,6.000,UFA,,,
"Brassard, Derick",OTT,Center,5.000,5.000,3.500,3.500,UFA,,
"MacDonald, Andrew",PHI,Defence,5.000,5.000,5.250,5.500,5.750,UFA,
"Moulson, Matt",BUF,Left,5.000,5.000,5.000,3.000,UFA,,
"Filppula, Valtteri",PHI,Center,5.000,0.000,5.000,UFA,,,
"Bishop, Ben",DAL,Goaltender,4.917,4.917,7.000,6.500,5.500,3.500,3.500
"Methot, Marc",OTT,Defence,4.900,4.900,4.900,4.900,UFA,,
"Vatanen, Sami",ANA,Defence,4.875,4.875,5.000,5.000,4.500,UFA,
"Gaborik, Marian",LAK,Left,4.875,4.875,5.075,4.575,3.175,3.075,UFA
"Martin, Paul",SJS,Defence,4.850,4.850,4.400,4.250,UFA,,
"Clowe, Ryane",NJD,Right,4.850,0.000,4.850,UFA,,,
"Faulk, Justin",CAR,Defence,4.833,4.833,5.500,6.000,6.000,UFA,
"Kucherov, Nikita",TBL,Right,4.767,4.767,4.500,5.550,RFA,,
"Kronwall, Niklas",DET,Defence,4.750,4.750,3.500,1.750,UFA,,
"Hartnell, Scott",CLB,Right,4.750,4.750,4.500,3.000,UFA,,
"Trocheck, Vincent",FLA,Center,4.750,4.750,4.500,5.250,5.250,3.500,6.250
"Soderberg, Carl",COL,Center,4.750,4.750,5.000,5.000,4.000,UFA,
"Nyquist, Gustav",DET,Center,4.750,4.750,5.250,5.500,UFA,,
"Lehtera, Jori",STL,Center,4.700,4.700,4.700,5.000,UFA,,
"Little, Bryan",WPG,Center,4.700,0.000,5.000,UFA,,,
"McDonagh, Ryan",NYR,Defence,4.700,4.700,5.100,5.300,UFA,,
"MacArthur, Clarke",OTT,Left,4.650,4.650,4.750,4.750,4.750,UFA,
"Brodie, T.J.",CGY,Defence,4.650,4.650,4.838,4.838,4.838,UFA,
"Palmieri, Kyle",NJD,Center,4.650,4.650,4.500,5.000,5.000,4.250,UFA
"Kreider, Chris",NYR,Left,4.625,4.625,5.000,4.500,4.000,UFA,
"Garrison, Jason",TBL,Defence,4.600,0.000,2.500,UFA,,,
"Ennis, Tyler",BUF,Left,4.600,4.600,3.650,3.650,UFA,,
"Toffoli, Tyler",LAK,Center,4.600,4.600,4.600,4.600,4.600,UFA,
"Johansson, Marcus",WAS,Center,4.583,4.583,4.750,4.750,UFA,,
"Anisimov, Artem",CHI,Center,4.550,4.550,5.000,5.000,4.000,3.000,UFA
"Luongo, Roberto",FLA,Goaltender,4.533,4.533,6.714,3.382,1.618,1.000,1.000
"Zaitsev, Nikita",TOR,Defence,4.500,4.500,4.500,4.500,4.500,4.500,4.500
"Stralman, Anton",TBL,Defence,4.500,4.500,4.500,4.500,UFA,,
"Brouwer, Troy",CGY,Right,4.500,4.500,4.500,4.500,4.500,UFA,
"Pacioretty, Max",MTL,Left,4.500,4.500,5.000,5.000,UFA,,
"Niemi, Antti",DAL,Goaltender,4.500,0.000,4.500,UFA,,,
"Kadri, Nazem",TOR,Center,4.500,4.500,5.000,4.500,4.500,4.000,4.000
"Beauchemin, Francois",COL,Defence,4.500,0.000,4.500,UFA,,,
"Demers, Jason",FLA,Defence,4.500,4.500,5.400,4.400,3.600,3.600,UFA
"Shipachyov, Vadim",VGK,Center,4.500,4.500,5.000,4.000,UFA,,
"Zuccarello, Mats",NYR,Left,4.500,4.500,4.500,4.500,UFA,,
"Gostisbehere, Shayne",PHI,Defence,4.500,4.500,6.000,6.000,5.250,3.250,3.250
"Halak, Jaroslav",NYI,Goaltender,4.500,0.000,5.000,UFA,,,
"Tanev, Christopher",VAN,Defence,4.450,4.450,5.000,5.000,5.250,UFA,
"Killorn, Alex",TBL,Center,4.450,4.450,4.450,4.450,4.450,4.450,4.450
"Sutter, Brandon",VAN,Center,4.375,4.375,4.250,4.375,4.500,4.500,UFA
"Johnson, Jack",CLB,Defence,4.357,0.000,5.000,UFA,,,
"Allen, Jake",STL,Goaltender,4.350,4.350,3.850,4.350,5.200,4.000,UFA
"Couturier, Sean",PHI,Center,4.333,4.333,4.000,4.250,4.500,4.750,4.750
"Dubnyk, Devan",MIN,Goaltender,4.333,4.333,5.000,5.000,3.500,2.500,UFA
"Frolik, Michael",CGY,Center,4.300,4.300,4.000,4.000,3.000,UFA,
"Klingberg, John",DAL,Defence,4.250,4.250,3.500,4.500,5.000,5.750,6.000
"Vlasic, Marc-Edouard",SJS,Defence,4.250,0.000,4.250,UFA,,,
"Van Riemsdyk, James",TOR,Left,4.250,0.000,5.000,UFA,,,
"Hornqvist, Patric",PIT,Right,4.250,0.000,4.750,UFA,,,
"Abdelkader, Justin",DET,Left,4.250,4.250,5.000,5.000,4.750,3.500,3.000
"Ericsson, Jonathan",DET,Defence,4.250,4.250,4.250,4.250,4.250,UFA,
"Savard, David",CLB,Defence,4.250,4.250,4.000,4.750,5.000,4.000,UFA
"Smith, Craig",NAS,Center,4.250,4.250,4.250,4.500,4.750,UFA,
"Bozak, Tyler",TOR,Center,4.200,0.000,4.000,UFA,,,
"Anderson, Craig",OTT,Goaltender,4.200,0.000,3.100,UFA,,,
"Kulemin, Nikolay",NYI,Left,4.188,0.000,5.250,UFA,,,
"Klefbom, Oscar",EDM,Defence,4.167,4.167,3.500,4.000,4.500,4.500,4.500
"Talbot, Cam",EDM,Goaltender,4.167,4.167,4.150,4.200,UFA,,
"Larsson, Adam",EDM,Defence,4.167,4.167,4.500,4.850,5.050,5.100,UFA
"Brodin, Jonas",MIN,Defence,4.167,4.167,4.500,5.750,4.750,3.500,UFA
"Darling, Scott",CAR,Goaltender,4.150,4.150,4.750,4.750,4.100,3.000,UFA
"Perreault, Mathieu",WPG,Center,4.125,4.125,4.500,4.000,4.000,4.000,UFA
"Hjalmarsson, Niklas",CHI,Defence,4.100,4.100,4.000,4.000,UFA,,
"Emelin, Alexei",MTL,Defence,4.100,0.000,4.400,UFA,,,
"Bjugstad, Nick",FLA,Center,4.100,4.100,3.850,4.300,5.000,5.250,UFA
"Maatta, Olli",PIT,Defence,4.083,4.083,4.083,4.083,4.083,4.083,4.083
"Gardiner, Jake",TOR,Defence,4.050,4.050,4.050,3.450,UFA,,
"Hagelin, Carl",PIT,Left,4.000,4.000,3.667,3.667,UFA,,
"Bieksa, Kevin",ANA,Defence,4.000,0.000,4.000,UFA,,,
"Chara, Zdeno",BOS,Defence,4.000,0.000,4.000,UFA,,,
"Rask, Victor",CAR,Center,4.000,4.000,4.000,4.000,4.000,4.000,4.000
"Pouliot, Benoit",EDM,Left,4.000,4.000,4.000,4.000,UFA,,
"Fowler, Cam",ANA,Defence,4.000,0.000,4.000,UFA,,,
"Henrique, Adam",NJD,Center,4.000,4.000,5.000,5.500,UFA,,
"Muzzin, Jake",LAK,Defence,4.000,4.000,4.100,4.450,4.450,UFA,
"Scandella, Marco",MIN,Defence,4.000,4.000,4.000,4.500,4.750,UFA,
"Martinez, Alec",LAK,Defence,4.000,4.000,4.000,4.050,4.150,4.000,UFA
"Mrazek, Petr",DET,Goaltender,4.000,0.000,4.150,RFA,,,
"Josi, Roman",NAS,Defence,4.000,4.000,5.000,5.250,4.000,UFA,
"Jokinen, Jussi",FLA,Left,4.000,0.000,4.000,UFA,,,
"Boedker, Mikkel",SJS,Right,4.000,4.000,4.800,3.000,3.000,UFA,
"Simmonds, Wayne",PHI,Right,3.975,3.975,4.750,5.000,UFA,,
"Carlson, John",WAS,Defence,3.967,0.000,4.000,UFA,,,
"Franzen, Johan",DET,Center,3.955,3.955,2.000,1.000,1.000,UFA,
"Wilson, Colin",NAS,Center,3.938,3.938,4.000,4.000,UFA,,
"Gorges, Josh",BUF,Defence,3.900,0.000,3.900,UFA,,,
"Shaw, Andrew",MTL,Center,3.900,3.900,5.000,4.000,3.250,2.750,2.900
"Hamonic, Travis",NYI,Defence,3.857,3.857,4.875,4.875,4.875,UFA,
"Helm, Darren",DET,Center,3.850,3.850,4.500,3.750,3.000,3.000,UFA
"Berglund, Patrik",STL,Center,3.850,3.850,4.700,4.700,4.500,2.900,2.450
"Eakin, Cody",DAL,Center,3.850,3.850,3.850,3.850,3.850,UFA,
"Murphy, Connor",ARI,Defence,3.850,3.850,4.600,4.500,4.400,3.200,4.000
"Rakell, Rickard",ANA,Right,3.800,3.800,3.800,3.800,3.800,3.800,3.800
"Beleskey, Matt",BOS,Left,3.800,3.800,4.000,4.000,3.000,UFA,
"Braun, Justin",SJS,Defence,3.800,3.800,3.800,3.800,3.800,UFA,
"Matthews, Auston",TOR,Center,3.775,3.775,0.925,0.925,RFA,,
"Eichel, Jack",BUF,Center,3.775,0.000,0.925,RFA,,,
"McDavid, Connor",EDM,Center,3.775,0.000,0.925,RFA,,,
"Vesey, Jimmy",NYR,Left,3.775,0.000,0.925,RFA,,,
"Hamhuis, Dan",DAL,Defence,3.750,0.000,3.000,UFA,,,
"Gallagher, Brendan",MTL,Right,3.750,3.750,2.750,3.000,4.000,2.750,UFA
"Ekholm, Mattias",NAS,Defence,3.750,3.750,3.500,4.000,4.000,3.000,5.000
"Silfverberg, Jakob",ANA,Right,3.750,3.750,3.750,3.750,UFA,,
"Pearson, Tanner",LAK,Left,3.750,3.750,3.500,3.800,3.850,3.850,UFA
"Lee, Anders",NYI,Center,3.750,3.750,4.500,5.000,UFA,,
"Murray, Matt",PIT,Goaltender,3.750,3.750,3.750,3.750,3.750,RFA,
"Perron, David",STL,Left,3.750,0.000,3.750,UFA,,,
"Coburn, Braydon",TBL,Defence,3.700,3.700,3.700,3.700,UFA,,
"Despres, Simon",ANA,Defence,3.700,3.700,3.100,4.700,4.700,3.400,UFA
"Markstrom, Jacob",VAN,Goaltender,3.667,3.667,3.400,3.600,4.000,UFA,
"Fayne, Mark",EDM,Defence,3.625,0.000,3.500,UFA,,,
"Read, Matt",PHI,Right,3.625,0.000,3.500,UFA,,,
"Fayne, Mark",EDM,Defence,3.625,0.000,3.500,UFA,,,
"Sbisa, Luca",VAN,Defence,3.600,0.000,4.000,UFA,,,
"Backlund, Mikael",CGY,Center,3.575,0.000,3.575,UFA,,,
"Laine, Patrik",WPG,Right,3.575,3.575,0.925,0.925,RFA,,
"Reinhart, Sam",BUF,Center,3.544,0.000,0.833,RFA,,,
"Clutterbuck, Cal",NYI,Right,3.500,3.500,5.000,4.000,3.500,2.500,2.500
"Eller, Lars",WAS,Center,3.500,0.000,4.750,UFA,,,
"Stone, Mark",OTT,Right,3.500,0.000,4.500,RFA,,,
"Atkinson, Cam",CLB,Right,3.500,0.000,4.500,UFA,,,
"Turris, Kyle",OTT,Center,3.500,0.000,4.000,UFA,,,
"Vasilevskiy, Andrei",TBL,Goaltender,3.500,3.500,3.000,3.500,4.000,RFA,
"Sobotka, Vladimir",STL,Center,3.500,3.500,4.000,3.500,3.000,UFA,
"Staal, Eric",MIN,Center,3.500,3.500,3.500,3.500,UFA,,
"Dubois, Pierre-Luc",CLB,Center,3.425,3.425,0.925,0.925,RFA,,
"Puljujarvi, Jesse",EDM,Right,3.425,3.425,0.925,0.925,RFA,,
"Reimer, James",FLA,Goaltender,3.400,3.400,3.200,3.100,3.100,3.100,UFA
"Cizikas, Casey",NYI,Center,3.350,3.350,3.000,3.500,3.750,4.000,UFA
"Gudas, Radko",PHI,Defence,3.350,3.350,3.500,3.400,2.500,UFA,
"Strome, Dylan",ARI,Center,3.338,3.338,0.925,0.833,0.833,RFA,
"Greiss, Thomas",NYI,Goaltender,3.333,3.333,3.000,3.250,3.750,UFA,
"McGinn, Jamie",ARI,Left,3.333,3.333,3.500,3.500,UFA,,
"Ward, Cam",CAR,Goaltender,3.300,0.000,3.100,UFA,,,
"Bailey, Josh",NYI,Center,3.300,0.000,4.000,UFA,,,
"Ward, Joel",SJS,Right,3.275,0.000,3.275,UFA,,,
"Dillon, Brenden",SJS,Defence,3.270,3.270,3.400,3.900,3.900,UFA,
"Stoner, Clayton",ANA,Defence,3.250,0.000,3.250,UFA,,,
"Smith, Zack",OTT,Center,3.250,3.250,3.250,3.250,3.250,3.250,UFA
"Coyle, Charlie",MIN,Center,3.200,3.200,3.500,3.750,4.250,UFA,
"Stajan, Matt",CGY,Center,3.125,0.000,2.500,UFA,,,
"Kruger, Marcus",CHI,Center,3.083,3.083,3.475,2.300,UFA,,
"Dal Colle, Michael",NYI,Left,3.063,3.063,0.833,0.833,RFA,,
"Hertl, Tomas",SJS,Center,3.000,0.000,3.200,RFA,,,
"Cogliano, Andrew",ANA,Center,3.000,0.000,3.300,UFA,,,
"Jones, Martin",SJS,Goaltender,3.000,0.000,3.000,UFA,,,
"Trouba, Jacob",WPG,Defence,3.000,0.000,3.500,RFA,,,
"Komarov, Leo",TOR,Center,2.950,0.000,2.950,UFA,,,
"Demko, Thatcher ",VAN,Goaltender,2.942,2.942,0.925,0.925,RFA,,
"Gunnarsson, Carl",STL,Defence,2.900,2.900,2.900,2.900,UFA,,
"Jenner, Boone",CLB,Center,2.900,0.000,2.900,RFA,,,
"Klein, Kevin",NYR,Defence,2.900,0.000,2.750,UFA,,,
"Ceci, Cody",OTT,Defence,2.800,0.000,3.350,RFA,,,
"Hutton, Ben",VAN,Defence,2.800,2.800,2.800,2.800,RFA,,
"Panik, Richard",CHI,Right,2.800,2.800,2.800,2.800,UFA,,
"Lack, Eddie",CAR,Goaltender,2.750,0.000,3.000,UFA,,,
"McQuaid, Adam",BOS,Defence,2.750,2.750,3.000,2.000,UFA,,
"Lindholm, Elias",CAR,Center,2.700,0.000,2.900,RFA,,,
"Lovejoy, Ben",NJD,Defence,2.667,2.667,2.750,2.750,UFA,,
"Dorsett, Derek",VAN,Right,2.650,2.650,2.500,2.500,UFA,,
"Stuart, Mark",WPG,Defence,2.625,0.000,1.750,UFA,,,
"Miller, J.T.",NYR,Center,2.625,0.000,2.750,RFA,,,
"Hayes, Kevin",NYR,Right,2.600,0.000,2.600,RFA,,,
"Weiss, Stephen",DET,Center,2.567,2.567,2.567,1.667,1.667,1.667,
"Dumba, Mathew",MIN,Defence,2.550,0.000,2.750,RFA,,,
"Greene, Matt",LAK,Defence,2.500,0.000,2.500,UFA,,,
"Martin, Matt",TOR,Left,2.500,2.500,2.500,2.250,1.750,UFA,
"Colborne, Joe",COL,Center,2.500,0.000,2.500,UFA,,,
"Strome, Ryan",NYI,Center,2.500,0.000,3.000,RFA,,,
"Ellis, Ryan",NAS,Defence,2.500,2.500,3.000,3.500,UFA,,
"Miller, Kevan",BOS,Defence,2.500,2.500,2.500,2.500,2.500,UFA,
"Nelson, Brock",NYI,Center,2.500,0.000,3.500,RFA,,,
"Vanek, Thomas",MIN,Left,2.500,0.000,2.500,,,,
"Neuvirth, Michal",PHI,Goaltender,2.500,2.500,2.500,2.500,UFA,,
"Stempniak, Lee",CAR,Right,2.500,0.000,2.500,UFA,,,
"Burrows, Alexandre",OTT,Left,2.500,2.500,2.500,2.500,UFA,,
"Hansen, Jannik",SJS,Right,2.500,0.000,3.000,UFA,,,
"Comeau, Blake",COL,Right,2.400,0.000,2.400,UFA,,,
"Raffl, Michael",PHI,Left,2.350,2.350,2.350,2.350,UFA,,
"Weise, Dale",PHI,Right,2.350,2.350,2.550,2.350,1.750,UFA,
"Semin, Alexander",CAR,Left,2.333,2.333,2.333,2.333,2.333,2.333,
"Gibson, John",ANA,Goaltender,2.300,2.300,2.100,3.300,RFA,,
"Hayes, Jimmy",BOS,Right,2.300,0.000,2.600,UFA,,,
"Murray, Ryan",CLB,Defence,2.285,0.000,2.285,RFA,,,
"Chimera, Jason",NYI,Left,2.250,0.000,2.500,UFA,,,
"Rieder, Tobias",ARI,Center,2.225,0.000,2.450,RFA,,,
